201001,3492 
201002,3145 
201003,3336 
201004,3300 
201005,3310 
201006,3202 
201007,3222 
201008,3311 
201009,3274 
201010,3529 
201011,3351 
201012,3658 
201101,3634 
201102,3229 
201103,3464 
201104,3347 
201105,3385 
201106,3213 
201107,3212 
201108,3292 
201109,3186 
201110,3380 
201111,3423 
201112,3555 
201201,3732 
201202,3795 
201203,3714 
201204,3382 
201205,3356 
201206,3212 
201207,3180 
201208,3502 
201209,3102 
201210,3564 
201211,3328 
201212,3647 
201301,3830 
201302,3464 
201303,3809 
201304,3417 
201305,3469 
201306,3159 
201307,3324 
201308,3426 
201309,3371 
201310,3655 
201311,3577 
201312,3562 
201401,3622 
201402,3684 
201403,3863 
201404,3439 
201405,3567 
201406,3203 
201407,3306 
201408,3282 
201409,3309 
201410,3582 
201411,3531 
201412,3765 
201501,3796 
201502,3697 
201503,3996 
201504,3652 
201505,3607 
201506,3370 
201507,3457 
201508,3352 
201509,3525 
201510,3517 
201511,3492 
201512,3592 
201601,3900 
201602,3800 
201603,3900 
201604,3700 
201605,3700 
201606,3300 
201607,3400 
201608,3600 
201609,3300 
201610,3600 
201611,3600 
201612,3900 
